star_id,period,radius,tdur,rhostar,rstar,mstar,npl,mass
16811,8.42994899,2.06579464,0.10911817916666666,1.0,1.0,1.0,3,7.459286110014261
16811,18.7891043,1.27809405,0.039682720458333334,1.0,1.0,1.0,3,2.0937821703294572
17076,11.0206455,1.80865133,0.125992415,1.0,1.0,1.0,2,5.345581073362401
17076,44.9662215,1.59124263,0.19332101416666667,1.0,1.0,1.0,2,4.3853744386542335
17223,31.8249397,4.45546989,0.2416906875,1.0,1.0,1.0,2,22.276024250245218
17223,42.5448115,4.21954632,0.30515148458333335,1.0,1.0,1.0,2,19.09403124853722
17301,5.16081798,2.92661772,0.14612416375,1.0,1.0,1.0,2,9.273918613364105
17301,74.5832432,5.34511974,0.3097523783333333,1.0,1.0,1.0,2,31.388363186131585
17340,1.11990257,1.23074934,0.09062912041666667,1.0,1.0,1.0,2,1.8472499465849628
17340,7.08315944,1.46353842,0.16686291,1.0,1.0,1.0,2,3.3882241682844825
17360,1.96275445,1.05071641,0.07804784208333333,1.0,1.0,1.0,2,1.1119102567720143
